hyperparameter,mean_var_between_ratio,ratio_of_sums,median_ratio,p90_ratio,mean_var_within_ratio,n_values,n_groups,n_models_total,n_models_used
n_neighbors,0.8362650109624233,0.8355936787522003,0.87789854670687,0.9830130021046769,0.16373498903757663,13,13,25,25
weights,0.13908006018154206,0.17532078974651102,0.042479132115040716,0.49800141391892877,0.8609199398184579,2,2,25,25
p,0.015990441366784406,0.015030546465991073,0.0053731529096878216,0.03762778261419215,0.9840095586332155,2,2,25,25
