rule,frequency,label
cat__purpose_new car > 0.5 AND cat__other_payment_plans_none <= 0.5 AND num__credit_amount <= -0.886,0.02,HV_q
cat__purpose_new car > 0.5 AND cat__other_payment_plans_none <= 0.5 AND num__credit_amount > -0.886,0.02,HV_q
cat__purpose_new car > 0.5 AND cat__other_payment_plans_none > 0.5 AND num__credit_amount > 3.538,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__property_magnitude_no known property <= 0.5 AND num__residence_since <= -0.329,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__property_magnitude_no known property > 0.5,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount > 1.858,0.02,HV_q
num__credit_amount <= 0.7684 AND num__credit_amount <= -0.886 AND cat__purpose_new car > 0.5,0.02,HV_q
num__credit_amount <= 0.7684 AND num__credit_amount > -0.886 AND num__age > 2.358,0.02,HV_q
num__credit_amount > 0.7684 AND num__age <= 0.7174 AND cat__employment_4<=X<7 <= 0.5 AND num__age <= -0.4915,0.02,HV_q
num__credit_amount > 0.7684 AND num__age <= 0.7174 AND cat__employment_4<=X<7 <= 0.5 AND num__age > -0.4915,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__job_skilled <= 0.5 AND cat__employment_1<=X<4 > 0.5,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__job_skilled > 0.5 AND num__credit_amount <= -0.1086 AND num__age <= 0.1562,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__job_skilled > 0.5 AND num__credit_amount <= -0.1086 AND num__age > 0.1562,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__job_skilled > 0.5 AND num__credit_amount > -0.1086,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount <= 0.9934 AND num__credit_amount <= -0.985,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount > 0.9934 AND cat__credit_history_delayed previously <= 0.5 AND cat__checking_status_<0 <= 0.5,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount > 0.9934 AND cat__credit_history_delayed previously <= 0.5 AND cat__checking_status_<0 > 0.5,0.02,HV_q
num__credit_amount <= 0.9743 AND cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= -0.9561,0.02,HV_q
num__credit_amount <= 0.9743 AND cat__other_payment_plans_bank > 0.5 AND cat__job_skilled > 0.5 AND num__credit_amount <= -0.1086,0.02,HV_q
num__credit_amount > 0.9743 AND cat__employment_4<=X<7 <= 0.5 AND num__age <= 0.7174 AND num__installment_commitment <= -0.4135,0.02,HV_q
num__credit_amount > 0.9743 AND cat__employment_4<=X<7 <= 0.5 AND num__age <= 0.7174 AND num__installment_commitment > -0.4135,0.02,HV_q
num__credit_amount <= -0.8804 AND num__age <= 0.7174 AND cat__credit_history_existing paid <= 0.5,0.02,HV_q
num__credit_amount <= -0.8804 AND num__age <= 0.7174 AND cat__credit_history_existing paid > 0.5,0.02,HV_q
num__credit_amount > -0.8804 AND cat__purpose_business <= 0.5 AND cat__other_parties_none <= 0.5,0.02,HV_q
num__credit_amount > -0.8804 AND cat__purpose_business > 0.5 AND cat__employment_>=7 > 0.5,0.02,HV_q
num__age <= 0.6311 AND cat__credit_history_existing paid <= 0.5 AND num__age <= -0.4051 AND num__age <= -0.7505,0.02,HV_q
num__age <= 0.6311 AND cat__credit_history_existing paid <= 0.5 AND num__age > -0.4051 AND num__residence_since <= 0.585,0.02,HV_q
num__age <= 0.6311 AND cat__credit_history_existing paid <= 0.5 AND num__age > -0.4051 AND num__residence_since > 0.585,0.02,HV_q
num__age <= 0.6311 AND cat__credit_history_existing paid > 0.5 AND cat__property_magnitude_no known property > 0.5,0.02,HV_q
num__credit_amount <= 0.7684 AND num__credit_amount <= -0.8609 AND cat__purpose_new car <= 0.5 AND cat__personal_status_male mar/wid > 0.5,0.02,HV_q
num__credit_amount <= 0.7684 AND num__credit_amount <= -0.8609 AND cat__purpose_new car > 0.5 AND num__residence_since <= 0.585,0.02,HV_q
num__credit_amount <= 0.7684 AND num__credit_amount <= -0.8609 AND cat__purpose_new car > 0.5 AND num__residence_since > 0.585,0.02,HV_q
num__credit_amount > 0.7684 AND cat__credit_history_delayed previously <= 0.5 AND num__age <= 0.7606 AND num__num_dependents <= 1.048,0.02,HV_q
num__credit_amount > 0.7684 AND cat__credit_history_delayed previously <= 0.5 AND num__age <= 0.7606 AND num__num_dependents > 1.048,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND cat__employment_4<=X<7 <= 0.5 AND num__age <= 0.7174,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_furniture/equipment <= 0.5 AND cat__property_magnitude_car <= 0.5 AND num__duration <= 0.4994,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_furniture/equipment <= 0.5 AND cat__property_magnitude_car <= 0.5 AND num__duration > 0.4994,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_furniture/equipment <= 0.5 AND cat__property_magnitude_car > 0.5,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__job_skilled <= 0.5 AND cat__savings_status_<100 <= 0.5,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__job_skilled > 0.5 AND cat__savings_status_<100 > 0.5 AND cat__property_magnitude_no known property <= 0.5,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__job_skilled > 0.5 AND cat__savings_status_<100 > 0.5 AND cat__property_magnitude_no known property > 0.5,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount <= 1.737 AND num__credit_amount <= -0.9826,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount > 1.737 AND num__num_dependents <= 1.048,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount > 1.737 AND num__num_dependents > 1.048,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND cat__credit_history_existing paid <= 0.5 AND cat__personal_status_male single <= 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND cat__credit_history_existing paid <= 0.5 AND cat__personal_status_male single > 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__employment_>=7 <= 0.5 AND num__credit_amount <= -0.7529,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__employment_>=7 <= 0.5 AND num__credit_amount > -0.7529 AND num__credit_amount > 0.535,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__employment_>=7 > 0.5 AND num__duration > -0.3838,0.02,HV_q
num__credit_amount <= 1.81 AND cat__other_payment_plans_bank <= 0.5 AND cat__purpose_education > 0.5,0.02,HV_q
num__credit_amount <= 1.81 AND cat__other_payment_plans_bank > 0.5 AND num__age > -0.4051 AND num__residence_since > -1.243,0.02,HV_q
num__credit_amount > 1.81 AND num__age <= 0.7174 AND num__residence_since <= -0.329,0.02,HV_q
num__credit_amount > 1.81 AND num__age <= 0.7174 AND num__residence_since > -0.329,0.02,HV_q
num__credit_amount <= 0.7684 AND num__credit_amount <= -0.8609 AND cat__property_magnitude_life insurance <= 0.5 AND cat__other_parties_guarantor <= 0.5,0.02,HV_q
num__credit_amount <= 0.7684 AND num__credit_amount > -0.8609 AND cat__credit_history_delayed previously > 0.5,0.02,HV_q
num__credit_amount > 0.7684 AND cat__credit_history_existing paid <= 0.5 AND cat__personal_status_male single <= 0.5,0.02,HV_q
num__credit_amount > 0.7684 AND cat__credit_history_existing paid <= 0.5 AND cat__personal_status_male single > 0.5 AND num__credit_amount > 1.721,0.02,HV_q
num__credit_amount > 0.7684 AND cat__credit_history_existing paid > 0.5 AND num__duration > 2.013,0.02,HV_q
num__credit_amount <= 1.81 AND num__credit_amount <= -0.8562 AND cat__job_unskilled resident <= 0.5 AND cat__checking_status_no checking <= 0.5,0.02,HV_q
num__credit_amount <= 1.81 AND num__credit_amount > -0.8562 AND cat__other_parties_guarantor <= 0.5 AND num__credit_amount > 0.9934,0.02,HV_q
num__credit_amount <= 1.81 AND num__credit_amount > -0.8562 AND cat__other_parties_guarantor > 0.5,0.02,HV_q
num__credit_amount > 1.81 AND cat__employment_4<=X<7 <= 0.5 AND cat__employment_1<=X<4 <= 0.5,0.02,HV_q
num__credit_amount > 1.81 AND cat__employment_4<=X<7 <= 0.5 AND cat__employment_1<=X<4 > 0.5 AND cat__personal_status_female div/dep/mar <= 0.5,0.02,HV_q
num__credit_amount > 1.81 AND cat__employment_4<=X<7 <= 0.5 AND cat__employment_1<=X<4 > 0.5 AND cat__personal_status_female div/dep/mar > 0.5,0.02,HV_q
num__credit_amount <= 0.7684 AND num__credit_amount <= -0.6722 AND cat__personal_status_male single <= 0.5 AND cat__purpose_furniture/equipment <= 0.5,0.02,HV_q
num__credit_amount <= 0.7684 AND num__credit_amount > -0.6722 AND cat__other_parties_none <= 0.5,0.02,HV_q
