dataset,group,n_points_mean,accuracy_mean,accuracy_std,brier_mean,brier_std,mean_variance_mean,mean_variance_std
adult,HH,286.1,0.7378366329292637,0.03487234230717263,0.16833322218238383,0.01832314640714939,0.00920290389369121,0.002812943465041858
adult,non-HH,9482.9,0.8764263330768829,0.0033821827776615494,0.08614548432831384,0.001730548926297044,0.001167491824732655,0.00010355925654092258
compas,HH,86.7,0.7122378189390729,0.05258715181490218,0.19671557014004842,0.030064414158443093,0.006006012135011794,0.003664903035049552
compas,non-HH,1356.3,0.6816296481495951,0.009584728901693072,0.2080347328773839,0.0034776151787864725,0.0010896769050890202,0.00024360318924428626
german,HH,3.857142857142857,0.6428571428571429,0.27936056994917524,0.2137914339018047,0.08024595486249249,0.011074606036121601,0.00521778070713506
german,non-HH,197.3,0.7586827934481135,0.03235510817232922,0.16454226364531963,0.01502261795512971,0.004940010594184366,0.0021009091667853978
