rule,frequency,label
num__mean concavity > -0.5347 AND num__worst area <= 0.2671 AND num__radius error > -0.4283 AND num__smoothness error > 0.08047,0.02,HV_q
num__area error > -0.347 AND num__worst perimeter <= 0.264 AND num__worst concavity > -0.5759 AND num__mean area <= -0.1206,0.02,HV_q
num__area error > -0.347 AND num__worst perimeter <= 0.264 AND num__worst concavity > -0.5759 AND num__mean area > -0.1206,0.02,HV_q
num__worst perimeter > -0.02751 AND num__worst perimeter <= 0.2002,0.02,HV_q
num__area error <= -0.2154 AND num__worst concavity > 0.9761,0.02,HV_q
num__area error > -0.2154 AND num__worst perimeter <= 0.512 AND num__smoothness error <= -0.3574,0.02,HV_q
num__area error > -0.2154 AND num__worst perimeter <= 0.512 AND num__smoothness error > -0.3574,0.02,HV_q
num__worst fractal dimension <= 0.9379 AND num__worst smoothness <= -0.705 AND num__worst perimeter > -0.1392,0.02,HV_q
num__worst fractal dimension > 0.9379 AND num__symmetry error > -0.3905,0.02,HV_q
num__compactness error > -0.252 AND num__mean texture <= 0.3278 AND num__worst concave points > -0.4753 AND num__worst fractal dimension <= 0.8607,0.02,HV_q
num__compactness error > -0.252 AND num__mean texture <= 0.3278 AND num__worst concave points > -0.4753 AND num__worst fractal dimension > 0.8607,0.02,HV_q
num__area error > -0.2384 AND num__worst area <= 0.3777 AND num__worst concavity > -0.6636 AND num__mean smoothness <= -0.04452,0.02,HV_q
num__area error > -0.2384 AND num__worst area <= 0.3777 AND num__worst concavity > -0.6636 AND num__mean smoothness > -0.04452,0.02,HV_q
num__symmetry error <= 1.183 AND num__mean perimeter > 0.1971 AND num__mean radius <= 0.2983,0.02,HV_q
num__symmetry error > 1.183 AND num__mean fractal dimension <= 0.6519,0.02,HV_q
num__symmetry error > 1.183 AND num__mean fractal dimension > 0.6519,0.02,HV_q
num__concavity error > -0.267 AND num__smoothness error <= 0.266 AND num__worst perimeter <= 0.5091 AND num__worst perimeter > -0.4582,0.02,HV_q
num__worst fractal dimension <= 0.9544 AND num__worst perimeter > -0.007212 AND num__mean smoothness <= -0.222,0.02,HV_q
num__worst fractal dimension > 0.9544 AND num__mean texture <= 0.3527,0.02,HV_q
num__radius error > -0.4283 AND num__worst perimeter <= 0.19 AND num__mean concavity > -0.5555 AND num__smoothness error <= -0.04623,0.02,HV_q
num__radius error > -0.4283 AND num__worst perimeter <= 0.19 AND num__mean concavity > -0.5555 AND num__smoothness error > -0.04623,0.02,HV_q
num__mean fractal dimension <= 0.6519 AND num__worst area > -0.132 AND num__worst perimeter <= 0.1755,0.02,HV_q
num__mean fractal dimension > 0.6519 AND num__worst perimeter > -0.4736 AND num__mean concave points <= 0.8459,0.02,HV_q
num__compactness error > -0.2972 AND num__mean texture <= 0.3397 AND num__worst perimeter > -0.3973 AND num__worst perimeter <= 0.1596,0.02,HV_q
num__compactness error > -0.2972 AND num__mean texture <= 0.3397 AND num__worst perimeter > -0.3973 AND num__worst perimeter > 0.1596,0.02,HV_q
num__concave points error <= 0.01257 AND num__worst fractal dimension <= -1.027,0.02,HV_q
num__concave points error > 0.01257 AND num__worst perimeter <= 0.2393 AND num__mean concave points > -0.5012 AND num__texture error <= 0.1275,0.02,HV_q
num__concave points error > 0.01257 AND num__worst perimeter <= 0.2393 AND num__mean concave points > -0.5012 AND num__texture error > 0.1275,0.02,HV_q
num__mean concavity > -0.5347 AND num__worst perimeter <= 0.4568 AND num__radius error > -0.4368 AND num__area error <= -0.3498,0.02,HV_q
num__mean concavity > -0.5347 AND num__worst perimeter <= 0.4568 AND num__radius error > -0.4368 AND num__area error > -0.3498,0.02,HV_q
num__radius error > -0.4368 AND num__worst area <= 0.1108 AND num__worst concavity > -0.6379 AND num__worst fractal dimension <= 1.051,0.02,HV_q
num__radius error > -0.4368 AND num__worst area <= 0.1108 AND num__worst concavity > -0.6379 AND num__worst fractal dimension > 1.051,0.02,HV_q
num__area error > -0.3481 AND num__worst area <= 0.3777 AND num__mean concavity > -0.5347 AND num__mean texture <= 0.5081,0.02,HV_q
num__area error > -0.3481 AND num__worst area <= 0.3777 AND num__mean concavity > -0.5347 AND num__mean texture > 0.5081,0.02,HV_q
num__worst fractal dimension <= 0.9379 AND num__worst smoothness <= -0.705 AND num__mean radius > 0.002082,0.02,HV_q
num__worst fractal dimension > 0.9379 AND num__symmetry error > -0.1006,0.02,HV_q
num__worst fractal dimension <= 0.9544 AND num__area error > -0.3483 AND num__worst perimeter <= 0.2393 AND num__worst radius > -0.1046,0.02,HV_q
num__worst fractal dimension > 0.9544 AND num__worst symmetry <= 1.15,0.02,HV_q
num__worst fractal dimension > 0.9544 AND num__worst symmetry > 1.15,0.02,HV_q
num__worst perimeter > -0.4468 AND num__worst perimeter <= 0.4568 AND num__compactness error > -0.6396 AND num__mean texture <= 0.5377,0.02,HV_q
num__worst perimeter > -0.4468 AND num__worst perimeter <= 0.4568 AND num__compactness error > -0.6396 AND num__mean texture > 0.5377,0.02,HV_q
num__radius error > -0.4283 AND num__worst perimeter <= 0.5192 AND num__worst concavity > -0.5759 AND num__worst fractal dimension <= 1.051,0.02,HV_q
num__radius error > -0.4283 AND num__worst perimeter <= 0.5192 AND num__worst concavity > -0.5759 AND num__worst fractal dimension > 1.051,0.02,HV_q
num__compactness error <= -0.2972 AND num__worst texture > 1.369,0.02,HV_q
num__compactness error > -0.2972 AND num__mean texture <= 0.3515 AND num__symmetry error > -0.6108 AND num__worst perimeter <= -0.4785,0.02,HV_q
num__compactness error > -0.2972 AND num__mean texture <= 0.3515 AND num__symmetry error > -0.6108 AND num__worst perimeter > -0.4785,0.02,HV_q
num__worst compactness > -0.06496 AND num__worst perimeter <= 0.2437 AND num__area error <= -0.3498 AND num__worst perimeter > -0.4995,0.02,HV_q
num__worst compactness > -0.06496 AND num__worst perimeter <= 0.2437 AND num__area error > -0.3498 AND num__texture error <= 0.4231,0.02,HV_q
num__worst compactness > -0.06496 AND num__worst perimeter <= 0.2437 AND num__area error > -0.3498 AND num__texture error > 0.4231,0.02,HV_q
num__area error > -0.3459 AND num__worst area <= 0.3693 AND num__mean concavity > -0.5555 AND num__mean texture <= 0.5164,0.02,HV_q
num__area error > -0.3459 AND num__worst area <= 0.3693 AND num__mean concavity > -0.5555 AND num__mean texture > 0.5164,0.02,HV_q
num__worst fractal dimension <= 0.9544 AND num__smoothness error <= -0.5566 AND num__texture error > -0.5065 AND num__symmetry error <= -0.4141,0.02,HV_q
num__worst fractal dimension > 0.9544 AND num__worst smoothness <= 1.448,0.02,HV_q
num__worst perimeter > -0.4582 AND num__worst area <= 0.2671 AND num__concave points error > -0.4435 AND num__texture error <= -0.4095,0.02,HV_q
num__worst perimeter > -0.4582 AND num__worst area <= 0.2671 AND num__concave points error > -0.4435 AND num__texture error > -0.4095,0.02,HV_q
num__worst concave points > -0.2189 AND num__worst smoothness <= -0.04085 AND num__mean texture <= 0.2294,0.02,HV_q
num__worst concave points > -0.2189 AND num__worst smoothness <= -0.04085 AND num__mean texture > 0.2294,0.02,HV_q
num__worst concave points > -0.2189 AND num__worst smoothness > -0.04085 AND num__perimeter error <= -0.3274,0.02,HV_q
