hyperparameter,mean_var_between_ratio,ratio_of_sums,median_ratio,p90_ratio,mean_var_within_ratio,n_values,n_groups,n_models_total,n_models_used
max_depth,0.589222264816536,0.6674135780015169,0.6567491235156568,0.9453463275847478,0.41077773518346405,4,4,25,24
min_samples_split,0.10703717327990975,0.12174423985234788,0.1075518581887579,0.1956572154490991,0.8929628267200902,3,3,25,25
min_samples_leaf,0.07240488318718544,0.060662825943217064,0.05586130445716548,0.14890439859026028,0.9275951168128145,3,3,25,25
max_features,0.03133103634268088,0.0300116420397984,0.027039559604119797,0.0602644491829264,0.9686689636573192,2,2,25,20
n_estimators,0.03489415719754583,0.02561000693217424,0.021478331944114814,0.08713550884499778,0.9651058428024543,3,3,25,25
