rule,frequency,label
num__priors_count > 1.049 AND num__age > -0.1914 AND num__age <= 1.686 AND cat__race_African-American > 0.5,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.1914 AND num__age > 1.686 AND num__priors_count <= 2.084,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.1914 AND num__age > 1.686 AND num__priors_count > 2.084,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.6081 AND cat__c_charge_degree_M <= 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.6081 AND cat__c_charge_degree_M > 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count > -0.6081 AND num__priors_count <= -0.4011,0.02,HV_q
num__age <= -1.192 AND num__priors_count > -0.6081 AND num__priors_count > -0.4011,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND num__age <= 2.395 AND num__age <= -0.8588,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND num__age > 2.395 AND num__age <= 2.728,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND num__age > 2.395 AND num__age > 2.728,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age <= -0.1914 AND cat__sex_Female > 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age > -1.192 AND cat__sex_Female <= 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age <= 2.645 AND cat__race_Other > 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.645 AND num__age <= 2.812,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.645 AND num__age > 2.812,0.02,HV_q
num__priors_count > 1.256 AND num__age <= -0.1914 AND cat__race_African-American <= 0.5 AND num__age <= -0.4417,0.02,HV_q
num__priors_count > 1.256 AND num__age <= -0.1914 AND cat__race_African-American <= 0.5 AND num__age > -0.4417,0.02,HV_q
