dataset,ratio_all_mean,ratio_all_std,ratio_hh_mean,ratio_hh_std,n_seeds,n_seeds_hh
adult,0.7052921316736903,0.014031350968096903,0.7915315512547099,0.012759250779728377,10,10
compas,0.4126133441609182,0.03018243785296555,0.5246049749291669,0.034582133385792024,10,10
german,0.530622075934085,0.04249877732775051,0.5338544182267512,0.050912775617990416,10,3
