outer_seed,mean_variance,ambiguity,disagreement_rate,discrepancy,mean_conflict,frac_conflict_gt0,frac_conflict_ge025,moran_i,moran_p_sim,p_empirical,n_test,n_hh,hh_rate,n_ll,conflict_moran_i,conflict_n_hh,conflict_hh_rate,conflict_n_ll,hh_jaccard_var_conflict,p_empirical_hh,null_n_hh_mean,null_n_hh_std,null_mean,null_std
0,0.0014609066872039932,0.09536003314435475,0.1387456921554577,0.04569209428382472,0.01650117719316204,0.09816767325212407,0.024772238714300336,0.05000439719802526,0.001,0.009900990099009901,9769,386,0.039512744395536904,3307,0.10485921172823084,636,0.06510390009212816,4446,0.13053097345132744,0.009900990099009901,0.0,0.0,0.00018891767263263262,0.0016021320309192036
1,0.0013062345471514846,0.09791382617661634,0.14232708909134337,0.05461649923745174,0.01674685228784932,0.09786057938376497,0.026000614187736717,0.10544530744914551,0.001,0.009900990099009901,9769,798,0.08168696898351929,4018,0.12352443272929362,657,0.06725355717064183,4763,0.2446535500427716,0.009900990099009901,0.0,0.0,-0.0003889815553889005,0.001741233205334594
2,0.0014744379020901403,0.10148248544651951,0.15116252089944382,0.06162973730335732,0.01800798444057734,0.09765585013819224,0.028764459002968572,0.08537199953510194,0.001,0.009900990099009901,9769,801,0.0819940628518784,4029,0.12791218251263736,672,0.0687890265124373,4825,0.20540098199672668,0.009900990099009901,0.0,0.0,1.7855116320997764e-05,0.001467806356300348
3,0.0015871351217670961,0.10093221440509077,0.15934281912171153,0.05675004211638693,0.019060292762821167,0.09990787183949228,0.03111884532705497,0.0943764725435711,0.001,0.009900990099009901,9769,670,0.06858429726686457,3888,0.12600441565774112,695,0.0711434128365237,4679,0.19527145359019266,0.009900990099009901,0.0,0.0,-0.00019327081092786687,0.0014275101703160144
4,0.0014332442868130342,0.09902719966463741,0.1504425563858464,0.053568434822244895,0.018134916572832428,0.09386835909509673,0.02989046985361859,0.07031745217675736,0.001,0.009900990099009901,9769,605,0.061930596785750844,3710,0.11874029221760769,621,0.06356843075033268,4673,0.19960861056751467,0.009900990099009901,0.0,0.0,4.394972844631959e-07,0.001373895597173579
5,0.001453907975979589,0.09529980150643008,0.1449452349268093,0.04569443866020833,0.017500255911556968,0.0960180161736104,0.028559729757395843,0.07355998930434053,0.001,0.009900990099009901,9769,734,0.07513563312519193,3607,0.10653493832933474,593,0.06070222131231447,4572,0.1954954954954955,0.009900990099009901,0.0,0.0,-0.000295121874952477,0.0015253753621706932
6,0.0011499394786707163,0.08483971804952219,0.12750912751219845,0.04811451353753768,0.01635786672126113,0.08772648172791483,0.02641007267888218,0.05808610120363523,0.001,0.009900990099009901,9769,443,0.04534752789435971,3605,0.13187299683247442,537,0.054969802436278026,4644,0.12385321100917432,0.009900990099009901,0.0,0.0,-0.00013857300312620144,0.0017464118772724721
7,0.001443741884722558,0.10422118972027491,0.1507629576551677,0.06254363483170225,0.01798341693110861,0.1024669874091514,0.02886682362575494,0.0995527552847022,0.001,0.009900990099009901,9769,962,0.09847476712048316,3954,0.13056611986777347,714,0.07308834066946464,4739,0.2526158445440957,0.009900990099009901,0.0,0.0,-4.440746108623346e-05,0.0014422171558951746
8,0.0012777114929427122,0.08588559504836721,0.12242877128331116,0.04392637660194252,0.016038489098167675,0.08455317842153752,0.027331354283959462,0.03795532483819003,0.001,0.009900990099009901,9769,239,0.024465144845941242,3137,0.09153932927335601,538,0.05507216705906439,4505,0.13929618768328444,0.009900990099009901,0.0,0.0,2.3338837068209265e-05,0.0015709641886290419
9,0.0012437372844397519,0.09646143768735908,0.13572764186030642,0.053630191661184025,0.01577643566383458,0.0957109223052513,0.022827310881359402,0.07466192850315581,0.001,0.009900990099009901,9769,665,0.06807247415293274,3710,0.1149103000588571,582,0.05957621046166445,4545,0.16,0.009900990099009901,0.0,0.0,2.564680588729528e-05,0.0013814415952154782
